Player,Span,Mat,Inns,NO,Runs,HS,Ave,100,50,0,Bat
HH Streak (Zim),1993-2005,35,43,6,724,127*,19.56,1,2,7,8
SK Warne (Aus),1993-2007,89,110,8,1987,99,19.48,0,11,22,8
FJ Titmus (Eng),1955-1975,29,39,3,692,61,19.22,0,4,2,8
AC Parore (NZ),1990-2001,20,23,5,345,46,19.16,0,0,1,8
A Kumble (India),1994-2008,65,77,13,1218,110*,19.03,1,1,7,8
HDPK Dharmasena (SL),1993-2003,18,24,3,391,54,18.61,0,1,1,8
Saqlain Mushtaq (Pak),1996-2004,16,21,1,370,101*,18.5,1,1,2,8
J Briggs (Eng),1884-1895,15,20,1,348,57,18.31,0,1,2,8
DG Cork (Eng),1995-2001,16,21,3,321,59,17.83,0,1,0,8
S Abid Ali (India),1967-1974,14,20,2,317,58,17.61,0,2,2,8
DR Pringle (Eng),1982-1992,15,20,1,318,46*,16.73,0,0,2,8
WAS Oldfield (Aus),1928-1937,20,26,5,345,56*,16.42,0,1,5,8
B Yardley (Aus),1978-1983,23,37,0,563,74,15.21,0,2,7,8
PR Downton (Eng),1981-1986,16,22,4,270,54,15,0,1,1,8
RW Taylor (Eng),1977-1984,25,34,2,471,97,14.71,0,1,4,8
Fazal Mahmood (Pak),1952-1961,14,20,1,277,39,14.57,0,0,5,8
DAJ Bracewell (NZ),2011-2016,14,23,2,305,47,14.52,0,0,5,8
Wasim Bari (Pak),1969-1983,33,41,6,507,63,14.48,0,2,8,8
AR Caddick (Eng),1993-2001,15,20,3,241,45,14.17,0,0,5,8
GD McKenzie (Aus),1964-1970,17,24,1,325,76,14.13,0,1,3,8
CM Old (Eng),1972-1981,29,38,5,459,52,13.9,0,1,6,8
RJ Bright (Aus),1977-1986,15,21,4,235,33,13.82,0,0,2,8
AB Agarkar (India),1999-2004,14,21,3,240,109*,13.33,1,0,7,8
PM Siddle (Aus),2011-2016,19,20,1,253,49,13.31,0,0,4,8
Abdul Qadir (Pak),1980-1990,16,22,2,249,54,12.45,0,1,3,8
IR Bishop (WI),1992-1998,22,30,3,331,48,12.25,0,0,4,8
KD Ghavri (India),1975-1981,19,22,10,377,86,31.41,0,1,2,9
WPUJC Vaas (SL),1995-2007,31,40,12,799,69,28.53,0,4,1,9
IDS Smith (NZ),1981-1992,33,36,8,797,173,28.46,1,1,2,9
N Boje (SA),2000-2006,27,37,7,804,76,26.8,0,2,1,9
JJ Kelly (Aus),1896-1905,19,21,9,321,46*,26.75,0,0,3,9
KS More (India),1986-1993,24,29,8,536,67*,25.52,0,5,4,9
MA Starc (Aus),2012-2015,19,21,3,457,99,25.38,0,5,4,9
HH Streak (Zim),1993-2003,20,22,7,370,71*,24.66,0,2,5,9
RJ Harris (Aus),2010-2014,16,21,6,368,74,24.53,0,2,0,9
DL Vettori (ICC/NZ),1997-2012,39,47,6,977,137*,23.82,1,3,7,9
SCJ Broad (Eng),2008-2016,47,51,4,1111,169,23.63,1,2,7,9
GP Swann (Eng),2008-2013,34,41,4,858,85,23.18,0,5,3,9
DJ Nash (NZ),1992-2001,21,23,10,299,56,23,0,1,3,9
DW Steyn (SA),2007-2015,23,20,4,368,58,23,0,1,0,9
SMH Kirmani (India),1976-1985,25,25,7,412,67,22.88,0,1,1,9
J Srinath (India),1994-2002,25,29,3,573,76,22.03,0,3,3,9
Wasim Akram (Pak),1986-2001,31,29,1,615,66,21.96,0,3,3,9
B Lee (Aus),1999-2008,54,59,11,999,64,20.81,0,4,9,9
PR Reiffel (Aus),1992-1998,19,23,5,374,54*,20.77,0,1,2,9
Intikhab Alam (Pak),1962-1977,16,22,3,391,61,20.57,0,2,2,9
Sir RJ Hadlee (NZ),1974-1990,18,22,4,366,53*,20.33,0,2,3,9
AF Giles (Eng),1998-2005,28,36,7,578,59,19.93,0,1,5,9
HJ Tayfield (SA),1950-1960,22,29,6,441,66,19.17,0,1,2,9
JN Gillespie (Aus),1999-2005,32,39,10,535,54*,18.44,0,2,4,9
RW Taylor (Eng),1978-1983,19,22,6,291,64,18.18,0,1,3,9
Abdul Qadir (Pak),1979-1989,23,23,2,380,61,18.09,0,1,1,9
MA Holding (WI),1976-1987,22,23,0,403,73,17.52,0,3,4,9
BL Cairns (NZ),1975-1985,25,34,6,484,52*,17.28,0,1,3,9
JC Laker (Eng),1948-1959,22,31,4,456,63,16.88,0,2,3,9
DG Cork (Eng),1995-2002,17,20,2,301,56*,16.72,0,1,4,9
Mohammad Rafique (Ban),2000-2008,19,32,3,483,111,16.65,1,0,6,9
JE Emburey (Eng),1978-1993,28,39,11,445,57,15.89,0,1,6,9
Sarfraz Nawaz (Pak),1974-1984,29,34,4,472,55,15.73,0,2,3,9
SJ Benn (WI),2008-2014,18,25,4,329,42,15.66,0,0,5,9
